RANK	TITLE	ARTIST
471	On the Road Again	Willie Nelson
472	Where Did Our Love Go	The Supremes
473	Do Right Woman, Do Right Man	Aretha Franklin
474	One Nation Under a Groove	Funkadelic
475	Sabotage	The Beastie Boys
476	I Want to Know What Love Is	Foreigner
477	Super Freak	Rick James
478	White Rabbit	Jefferson Airplane
479	Lady Marmalade	Labelle
480	Into the Mystic	Van Morrison
481	Young Americans	David Bowie
482	I'm Eighteen	Alice Cooper
483	Just Like Heaven	The Cure
484	I Love Rock 'N Roll	Joan Jett
485	Graceland	Paul Simon
486	How Soon Is Now?	The Smiths
487	Under the Boardwalk	The Drifters
488	Rhiannon (Will You Ever Win)	Fleetwood Mac
489	I Will Survive	Gloria Gaynor
490	Brown Sugar	The Rolling Stones
491	You Don't Have to Say You Love Me	Dusty Springfield
492	Running On Empty	Jackson Browne
493	Then He Kissed Me	The Crystals
494	Desperado	The Eagles
495	Shop Around	Smokey Robinson and the Miracles
496	Miss You	The Rolling Stones
497	Buddy Holly	Weezer
498	Rainy Night in Georgia	Brook Benton
499	The Boys Are Back in Town	Thin Lizzy
500	More Than a Feeling	Boston
