FileName	Rolling Stone Rank	TITLE	ARTIST	Release Year	RS 5x20 subset	Lyric subset	YoutubeLink
TheTemptations_MyGirl_1964	88	My Girl	The Temptations	1964	FALSE	FALSE	https://www.youtube.com/watch?v=e4oasdg8JZ4
ElvisPresley_MysteryTrain_1955	77	Mystery Train	Elvis Presley	1955	TRUE	TRUE	https://www.youtube.com/watch?v=XA5HErVE9oI
BobMarley_NoWomanNoCry_1975	37	No Woman, No Cry	Bob Marley & The Wailers	1975	TRUE	TRUE	https://www.youtube.com/watch?v=2JZetjkhdYQ
TheBeatles_NorwegianWood_1965	83	Norwegian Wood (This Bird Has Flown)	The Beatles	1965	FALSE	FALSE	https://www.youtube.com/watch?v=Y_V6y1ZCg_8
BuddyHolly_NotFadeAway_1957	107	Not Fade Away	Buddy Holly and the Crickets	1957	FALSE	FALSE	https://www.youtube.com/watch?v=STX44ukH7cE
SineadOConnor_NothingCompares2U_1990	162	Nothing Compares 2 U	Sinead O'Connor	1990	TRUE	TRUE	https://www.youtube.com/watch?v=0-EF60neguk
DrDre_NuthinButAGThang_1993	419	Nuthin' But a 'G' Thang	Dr. Dre	1993	TRUE	FALSE	https://www.youtube.com/watch?v=0F0CAEoF4XM
U2_One_1991	36	One	U2	1991	TRUE	TRUE	https://www.youtube.com/watch?v=Sgp5dlKx9rs
TheRollingStones_PaintItBlack_1966	174	Paint It Black	The Rolling Stones	1966	FALSE	FALSE	https://www.youtube.com/watch?v=flSmiIne-4k
TheTemptations_PapaWasARollinStone_1972	168	Papa Was A Rollin' Stone	The Temptations	1972	FALSE	FALSE	https://www.youtube.com/watch?v=nXiQtD5gcHU
JamesBrown_PapasGotABrandNewBag_1966	72	Papa's Got a Brand New Bag	James Brown	1966	FALSE	FALSE	https://www.youtube.com/watch?v=QE5D2hJhacU
Radiohead_ParanoidAndroid_1997	256	Paranoid Android	Radiohead	1997	TRUE	FALSE	https://www.youtube.com/watch?v=fHiGbolFFGw
TheImpressions_PeopleGetReady_1965	24	People Get Ready	The Impressions	1965	TRUE	TRUE	https://www.youtube.com/watch?v=l04yM7-BWbg
JamesBrown_PleasePleasePlease_1956	142	Please, Please, Please	James Brown	1956	FALSE	FALSE	https://www.youtube.com/watch?v=ON-iOsFK7co
